Park_name,Park_id,Entrance,Start_time,Usage_class,Day_type
Battle Creek Regional Park,51,15,08:00 AM,Low,Weekday
Battle Creek Regional Park,51,15,08:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,15,10:00 AM,Low,Weekday
Battle Creek Regional Park,51,15,10:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,15,12:00 PM,Low,Weekday
Battle Creek Regional Park,51,15,12:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,15,02:00 PM,Low,Weekday
Battle Creek Regional Park,51,15,02:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,15,04:00 PM,Low,Weekday
Battle Creek Regional Park,51,15,04:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,15,06:00 PM,Low,Weekday
Battle Creek Regional Park,51,15,06:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,16,08:00 AM,Low,Weekday
Battle Creek Regional Park,51,16,08:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,16,10:00 AM,Low,Weekday
Battle Creek Regional Park,51,16,10:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,16,12:00 PM,Low,Weekday
Battle Creek Regional Park,51,16,12:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,16,02:00 PM,Low,Weekday
Battle Creek Regional Park,51,16,02:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,16,04:00 PM,Low,Weekday
Battle Creek Regional Park,51,16,04:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,16,06:00 PM,Low,Weekday
Battle Creek Regional Park,51,16,06:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,17,08:00 AM,Low,Weekday
Battle Creek Regional Park,51,17,08:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,17,10:00 AM,Low,Weekday
Battle Creek Regional Park,51,17,10:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,17,12:00 PM,Low,Weekday
Battle Creek Regional Park,51,17,12:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,17,02:00 PM,Low,Weekday
Battle Creek Regional Park,51,17,02:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,17,04:00 PM,Low,Weekday
Battle Creek Regional Park,51,17,04:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,17,06:00 PM,Low,Weekday
Battle Creek Regional Park,51,17,06:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,18,08:00 AM,Low,Weekday
Battle Creek Regional Park,51,18,08:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,18,10:00 AM,Low,Weekday
Battle Creek Regional Park,51,18,10:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,18,12:00 PM,Low,Weekday
Battle Creek Regional Park,51,18,12:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,18,02:00 PM,Low,Weekday
Battle Creek Regional Park,51,18,02:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,18,04:00 PM,Low,Weekday
Battle Creek Regional Park,51,18,04:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,18,06:00 PM,Low,Weekday
Battle Creek Regional Park,51,18,06:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,19,08:00 AM,Low,Weekday
Battle Creek Regional Park,51,19,08:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,19,10:00 AM,Low,Weekday
Battle Creek Regional Park,51,19,10:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,19,12:00 PM,Low,Weekday
Battle Creek Regional Park,51,19,12:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,19,02:00 PM,Low,Weekday
Battle Creek Regional Park,51,19,02:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,19,04:00 PM,Low,Weekday
Battle Creek Regional Park,51,19,04:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,19,06:00 PM,Low,Weekday
Battle Creek Regional Park,51,19,06:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,20,08:00 AM,Low,Weekday
Battle Creek Regional Park,51,20,08:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,20,10:00 AM,Low,Weekday
Battle Creek Regional Park,51,20,10:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,20,12:00 PM,Low,Weekday
Battle Creek Regional Park,51,20,12:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,20,02:00 PM,Low,Weekday
Battle Creek Regional Park,51,20,02:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,20,04:00 PM,Low,Weekday
Battle Creek Regional Park,51,20,04:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,20,06:00 PM,Low,Weekday
Battle Creek Regional Park,51,20,06:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,21,08:00 AM,Low,Weekday
Battle Creek Regional Park,51,21,08:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,21,10:00 AM,Low,Weekday
Battle Creek Regional Park,51,21,10:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,21,12:00 PM,Low,Weekday
Battle Creek Regional Park,51,21,12:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,21,02:00 PM,Low,Weekday
Battle Creek Regional Park,51,21,02:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,21,04:00 PM,Low,Weekday
Battle Creek Regional Park,51,21,04:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,21,06:00 PM,Low,Weekday
Battle Creek Regional Park,51,21,06:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,22,08:00 AM,Low,Weekday
Battle Creek Regional Park,51,22,08:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,22,10:00 AM,Low,Weekday
Battle Creek Regional Park,51,22,10:00 AM,Low,Weekend_holiday
