Agency_name,Park_name,Entrance,Date_year,Timeslot,Scheduled_count,Scheduled_date,Start_time,Date,Half_of_summer,Date_object,Day_type,Total_days_by_type,Park_id,Agency_id,Usage_class,ppb_multiplier,ppv_multiplier,Expansion_factor,Expanded_total,Year,Visitor Category,Visitors
Ramsey County,Highway 96 Regional Trail,7,August-31-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-08-31,2,2018-08-31,Weekday,68,56,6,Low,0,0,50,3400,2018,Boaters,0
Ramsey County,Rice Creek West Regional Trail,1,August-26-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-08-26,2,2018-08-26,Weekend_holiday,33,60,6,High,0,0,6,7722,2018,Boaters,0
Ramsey County,Rice Creek West Regional Trail,2,August-14-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-08-14,2,2018-08-14,Weekday,68,60,6,Low,0,0,30,38760,2018,Boaters,0
Ramsey County,Rice Creek North Regional Trail,2,August-7-2018,8:00-10:00 AM,Yes,NA,08:00 AM,2018-08-07,2,2018-08-07,Weekday,68,61,6,Medium,1,1.62,5,12729.6,2018,Boaters,0
Ramsey County,Rice Creek West Regional Trail,7,August-7-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-08-07,2,2018-08-07,Weekday,68,60,6,Medium,0,0,24,39168,2018,Boaters,0
Ramsey County,Rice Creek West Regional Trail,6,August-25-2018,6:00-8:00 PM,Yes,NA,06:00 PM,2018-08-25,2,2018-08-25,Weekend_holiday,33,60,6,Low,0,0,30,29700,2018,Boaters,0
Ramsey County,Rice Creek North Regional Trail,4,August-25-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-08-25,2,2018-08-25,Weekend_holiday,33,61,6,Low,1,1.62,37,90207.48,2018,Boaters,0
Ramsey County,Highway 96 Regional Trail,1,August-19-2018,8:00-10:00 AM,Yes,NA,08:00 AM,2018-08-19,2,2018-08-19,Weekend_holiday,33,56,6,Low,0,0,51,48807,2018,Boaters,0
Ramsey County,Grass-Vadnais-Snail Lake Regional Park,2,September-2-2018,8:00-10:00 AM,Yes,NA,08:00 AM,2018-09-02,2,2018-09-02,Weekend_holiday,33,55,6,Medium,59.42,2.47,30,151618.5,2018,Boaters,0
Ramsey County,Grass-Vadnais-Snail Lake Regional Park,1,August-28-2018,12:00-2:00 PM,Yes,NA,12:00 PM,2018-08-28,2,2018-08-28,Weekday,68,55,6,High,59.42,2.47,4,28013.280000000002,2018,Boaters,0
Ramsey County,Highway 96 Regional Trail,10,August-29-2018,8:00-10:00 AM,Yes,NA,08:00 AM,2018-08-29,2,2018-08-29,Weekday,68,56,6,High,0,0,11,29920,2018,Boaters,0
Ramsey County,Grass-Vadnais-Snail Lake Regional Park,1,September-1-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-09-01,2,2018-09-01,Weekend_holiday,33,55,6,High,59.42,2.47,5,15973.65,2018,Boaters,0
Ramsey County,Grass-Vadnais-Snail Lake Regional Park,4,August-26-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-08-26,2,2018-08-26,Weekend_holiday,33,55,6,Low,59.42,2.47,43,227337.99000000002,2018,Boaters,0
Ramsey County,Bruce Vento Regional Trail,2,September-2-2018,6:00-8:00 PM,Yes,NA,06:00 PM,2018-09-02,2,2018-09-02,Weekend_holiday,33,54,6,High,0,0,6,1782,2018,Boaters,0
Ramsey County,Battle Creek Regional Park,1,September-2-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-09-02,2,2018-09-02,Weekend_holiday,33,51,6,High,59.42,2.47,14,118706.28000000003,2018,Boaters,0
Ramsey County,Bruce Vento Regional Trail,12,August-30-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-08-30,2,2018-08-30,Weekday,68,54,6,Medium,0,0,32,15232,2018,Boaters,0
Ramsey County,Battle Creek Regional Park,1,August-30-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-08-30,2,2018-08-30,Weekday,68,51,6,Medium,59.42,2.47,8,58322.240000000005,2018,Boaters,0
Ramsey County,Trout Brook Regional Trail,4,August-29-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-08-29,2,2018-08-29,Weekday,68,98,6,High,0,0,3,0,2018,Boaters,0
Ramsey County,Keller Regional Park,1,August-22-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-08-22,2,2018-08-22,Weekday,68,58,6,High,59.42,2.47,3,19987.920000000002,2018,Boaters,0
Ramsey County,Trout Brook Regional Trail,2,August-19-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-08-19,2,2018-08-19,Weekend_holiday,33,98,6,Medium,0,0,8,1584,2018,Boaters,0
Ramsey County,Trout Brook Regional Trail,2,August-12-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-08-12,2,2018-08-12,Weekend_holiday,33,98,6,Medium,0,0,8,0,2018,Boaters,0
Ramsey County,Trout Brook Regional Trail,3,August-11-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-08-11,2,2018-08-11,Weekend_holiday,33,98,6,Low,0,0,16,528,2018,Boaters,0
Ramsey County,Trout Brook Regional Trail,4,August-9-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-08-09,2,2018-08-09,Weekday,68,98,6,High,0,0,3,0,2018,Boaters,0
Ramsey County,Battle Creek Regional Park,3,August-8-2018,6:00-8:00 PM,Yes,NA,06:00 PM,2018-08-08,2,2018-08-08,Weekday,68,51,6,High,59.42,2.47,10,34312.8,2018,Boaters,0
Ramsey County,Bruce Vento Regional Trail,1,August-8-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-08-08,2,2018-08-08,Weekday,68,54,6,High,0,0,6,7752,2018,Boaters,0
Ramsey County,Trout Brook Regional Trail,1,August-4-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-08-04,2,2018-08-04,Weekend_holiday,33,98,6,Low,0,0,16,5808,2018,Boaters,0
Ramsey County,Bruce Vento Regional Trail,1,July-28-2018,6:00-8:00 PM,Yes,NA,06:00 PM,2018-07-28,2,2018-07-28,Weekend_holiday,33,54,6,High,0,0,6,792,2018,Boaters,0
Ramsey County,Battle Creek Regional Park,3,July-28-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-07-28,2,2018-07-28,Weekend_holiday,33,51,6,High,59.42,2.47,14,31790.22,2018,Boaters,0
Ramsey County,Keller Regional Park,7,July-28-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-07-28,2,2018-07-28,Weekend_holiday,33,58,6,High,59.42,2.47,6,24942.06,2018,Boaters,0
Ramsey County,Trout Brook Regional Trail,3,July-27-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-07-27,2,2018-07-27,Weekday,68,98,6,Medium,0,0,12,1632,2018,Boaters,0
Ramsey County,Keller Regional Park,8,July-27-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-07-27,2,2018-07-27,Weekday,68,58,6,Low,59.42,2.47,42,217512.96000000005,2018,Boaters,0
Ramsey County,Grass-Vadnais-Snail Lake Regional Park,2,August-1-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-08-01,2,2018-08-01,Weekday,68,55,6,Low,59.42,2.47,50,132974,2018,Boaters,0
Ramsey County,Bald Eagle-Otter Lake Regional Park,3,August-1-2018,12:00-2:00 PM,Yes,NA,12:00 PM,2018-08-01,2,2018-08-01,Weekday,68,52,6,Medium,59.42,2.47,8,19899.520000000004,2018,Boaters,0
Ramsey County,Highway 96 Regional Trail,11,August-3-2018,8:00-10:00 AM,No,7/27/2018,08:00 AM,2018-08-03,2,2018-08-03,Weekday,68,56,6,Medium,0,0,23,4692,2018,Boaters,0
Ramsey County,Long Lake Regional Park,2,August-3-2018,12:00-2:00 PM,No,7/27/2018,12:00 PM,2018-08-03,2,2018-08-03,Weekday,68,59,6,Low,59.42,2.47,23,53441.88,2018,Boaters,0
Ramsey County,Battle Creek Regional Park,20,August-7-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-08-07,2,2018-08-07,Weekday,68,51,6,Low,59.42,2.47,126,8568,2018,Boaters,0
Ramsey County,Bald Eagle-Otter Lake Regional Park,1,August-7-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-08-07,2,2018-08-07,Weekday,68,52,6,High,59.42,2.47,6,11085.36,2018,Boaters,0
Ramsey County,Tony Schmidt Regional Park,1,August-3-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-08-03,2,2018-08-03,Weekday,68,99,6,Medium,59.42,2.47,5,9758,2018,Boaters,0
Ramsey County,Long Lake Regional Park,1,August-8-2018,12:00-2:00 PM,No,8/22/2018,12:00 PM,2018-08-08,2,2018-08-08,Weekday,68,59,6,High,59.42,2.47,3,42434.04000000001,2018,Boaters,0
Ramsey County,Rice Creek West Regional Trail,1,August-24-2018,12:00-2:00 PM,Yes,NA,12:00 PM,2018-08-24,2,2018-08-24,Weekday,68,60,6,High,0,0,6,408,2018,Boaters,0
Ramsey County,Rice Creek North Regional Trail,2,August-24-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-08-24,2,2018-08-24,Weekday,68,61,6,High,1,1.62,5,6460,2018,Boaters,0
Ramsey County,Tony Schmidt Regional Park,2,August-31-2018,12:00-2:00 PM,Yes,NA,12:00 PM,2018-08-31,2,2018-08-31,Weekday,68,99,6,Low,59.42,2.47,18,187100.64,2018,Boaters,0
Ramsey County,Long Lake Regional Park,1,July-2-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-07-02,1,2018-07-02,Weekday,68,59,6,Medium,59.42,2.47,4,54707.36000000001,2018,Boaters,0
Ramsey County,Rice Creek West Regional Trail,1,June-13-2018,6:00-8:00 PM,Yes,NA,06:00 PM,2018-06-13,1,2018-06-13,Weekday,68,60,6,High,0,0,6,7752,2018,Boaters,0
Ramsey County,Long Lake Regional Park,4,September-2-2018,12:00-2:00 PM,Yes,NA,12:00 PM,2018-09-02,2,2018-09-02,Weekend_holiday,33,59,6,Low,59.42,2.47,22,117975,2018,Boaters,0
Ramsey County,Long Lake Regional Park,2,August-18-2018,8:00-10:00 AM,Yes,NA,08:00 AM,2018-08-18,2,2018-08-18,Weekend_holiday,33,59,6,Medium,59.42,2.47,5,36788.4,2018,Boaters,0
Ramsey County,Long Lake Regional Park,1,August-31-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-08-31,2,2018-08-31,Weekday,68,59,6,High,59.42,2.47,3,50031.000000000015,2018,Boaters,0
Ramsey County,Tony Schmidt Regional Park,1,August-19-2018,12:00-2:00 PM,Yes,NA,12:00 PM,2018-08-19,2,2018-08-19,Weekend_holiday,33,99,6,High,59.42,2.47,5,21534.15,2018,Boaters,0
Ramsey County,Long Lake Regional Park,1,August-26-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-08-26,2,2018-08-26,Weekend_holiday,33,59,6,High,59.42,2.47,3,23162.04,2018,Boaters,0
Ramsey County,Tony Schmidt Regional Park,1,August-11-2018,6:00-8:00 PM,Yes,NA,06:00 PM,2018-08-11,2,2018-08-11,Weekend_holiday,33,99,6,Medium,59.42,2.47,1,5238.42,2018,Boaters,0
Ramsey County,Tony Schmidt Regional Park,1,August-12-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-08-12,2,2018-08-12,Weekend_holiday,33,99,6,High,59.42,2.47,5,18196.2,2018,Boaters,0
Ramsey County,Grass-Vadnais-Snail Lake Regional Park,2,August-7-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-08-07,2,2018-08-07,Weekday,68,55,6,Medium,59.42,2.47,24,79282.56000000001,2018,Boaters,0
Ramsey County,Long Lake Regional Park,1,August-26-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-08-26,2,2018-08-26,Weekend_holiday,33,59,6,High,59.42,2.47,3,19994.04,2018,Boaters,0
Ramsey County,Tony Schmidt Regional Park,1,August-2-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-08-02,2,2018-08-02,Weekday,68,99,6,High,59.42,2.47,1,4451.280000000001,2018,Boaters,0
Ramsey County,Rice Creek North Regional Trail,1,August-4-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-08-04,2,2018-08-04,Weekend_holiday,33,61,6,Medium,1,1.62,5,4920.3,2018,Boaters,0
Ramsey County,Long Lake Regional Park,5,June-9-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-06-09,1,2018-06-09,Weekend_holiday,33,59,6,Low,59.42,2.47,22,9735.66,2018,Boaters,0
Ramsey County,Long Lake Regional Park,1,June-10-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-06-10,1,2018-06-10,Weekend_holiday,33,59,6,High,59.42,2.47,3,3988.7100000000005,2018,Boaters,0
Saint Paul,Lilydale-Harriet Island Regional Park,2,May-26-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-05-26,1,2018-05-26,Weekend_holiday,33,65,7,High,36,2.21,8,35397.119999999995,2018,Boaters,0
Saint Paul,Cherokee Heights Regional Park,3,May-26-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-05-26,1,2018-05-26,Weekend_holiday,33,63,7,Low,36,2.21,6,4554,2018,Boaters,0
Saint Paul,Lilydale-Harriet Island Regional Park,7,May-27-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-05-27,1,2018-05-27,Weekend_holiday,33,65,7,Low,36,2.21,24,164656.8,2018,Boaters,0
Saint Paul,Hidden Falls-Crosby Farm Regional Park,2,May-29-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-05-29,1,2018-05-29,Weekday,68,66,7,High,64.18,2.21,9,22962.239999999998,2018,Boaters,0
Saint Paul,Phalen Regional Park,13,May-29-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-05-29,1,2018-05-29,Weekday,68,70,7,Low,64.18,2.21,34,0,2018,Boaters,0
Saint Paul,"Como Regional Park, Zoo, & Conservatory",14,May-31-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-05-31,1,2018-05-31,Weekday,68,64,7,High,9,2.21,43,29240,2018,Boaters,0
Saint Paul,Lilydale-Harriet Island Regional Park,2,June-2-2018,12:00-2:00 PM,Yes,NA,12:00 PM,2018-06-02,1,2018-06-02,Weekend_holiday,33,65,7,High,36,2.21,8,3806.88,2018,Boaters,0
Saint Paul,Cherokee Heights Regional Park,5,June-2-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-06-02,1,2018-06-02,Weekend_holiday,33,63,7,High,36,2.21,15,4950,2018,Boaters,0
Saint Paul,"Como Regional Park, Zoo, & Conservatory",10,June-3-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-06-03,1,2018-06-03,Weekend_holiday,33,64,7,High,9,2.21,43,68112,2018,Boaters,0
Saint Paul,Bruce Vento Regional Trail,6,June-3-2018,8:00-10:00 AM,Yes,NA,08:00 AM,2018-06-03,1,2018-06-03,Weekend_holiday,33,62,7,Medium,1,1.86,6,3960,2018,Boaters,0
Saint Paul,Phalen Regional Park,1,June-3-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-06-03,1,2018-06-03,Weekend_holiday,33,70,7,Medium,64.18,2.21,16,55909.92,2018,Boaters,0
Saint Paul,Indian Mounds Regional Park,4,June-5-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-06-05,1,2018-06-05,Weekday,68,67,7,High,59.42,2.21,6,48070.56,2018,Boaters,0
Saint Paul,Trout Brook Regional Trail,1,June-5-2018,6:00-8:00 PM,Yes,NA,06:00 PM,2018-06-05,1,2018-06-05,Weekday,68,130,7,High,0,0,6,4896,2018,Boaters,0
Saint Paul,Sam Morgan Regional Trail,2,June-5-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-06-05,1,2018-06-05,Weekday,68,69,7,High,1,1.86,12,39984,2018,Boaters,0
Saint Paul,"Como Regional Park, Zoo, & Conservatory",22,June-6-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-06-06,1,2018-06-06,Weekday,68,64,7,High,9,2.21,43,232633.44,2018,Boaters,0
Saint Paul,Phalen Regional Park,9,June-7-2018,12:00-2:00 PM,Yes,NA,12:00 PM,2018-06-07,1,2018-06-07,Weekday,68,70,7,High,64.18,2.21,28,189524.16,2018,Boaters,0
Saint Paul,Bruce Vento Regional Trail,6,June-7-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-06-07,1,2018-06-07,Weekday,68,62,7,High,1,1.86,21,71400,2018,Boaters,0
Saint Paul,Mississippi Gorge Regional Park,13,June-7-2018,12:00-2:00 PM,Yes,NA,12:00 PM,2018-06-07,1,2018-06-07,Weekday,68,68,7,High,1,1.86,16,71046.4,2018,Boaters,0
Saint Paul,Trout Brook Regional Trail,2,June-7-2018,6:00-8:00 PM,Yes,NA,06:00 PM,2018-06-07,1,2018-06-07,Weekday,68,130,7,Medium,0,0,6,1632,2018,Boaters,0
Saint Paul,Hidden Falls-Crosby Farm Regional Park,4,June-7-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-06-07,1,2018-06-07,Weekday,68,66,7,High,64.18,2.21,9,66083.76000000001,2018,Boaters,0
Saint Paul,Mississippi Gorge Regional Park,5,June-8-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-06-08,1,2018-06-08,Weekday,68,68,7,High,1,1.86,16,31552,2018,Boaters,0
Saint Paul,Bruce Vento Regional Trail,6,June-8-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-06-08,1,2018-06-08,Weekday,68,62,7,High,1,1.86,21,29988,2018,Boaters,0
Saint Paul,Hidden Falls-Crosby Farm Regional Park,2,June-8-2018,12:00-2:00 PM,Yes,NA,12:00 PM,2018-06-08,1,2018-06-08,Weekday,68,66,7,High,64.18,2.21,9,12270.6,2018,Boaters,0
Saint Paul,Cherokee Heights Regional Park,5,June-9-2018,6:00-8:00 PM,Yes,NA,06:00 PM,2018-06-09,1,2018-06-09,Weekend_holiday,33,63,7,High,36,2.21,15,12375,2018,Boaters,0
Saint Paul,Lilydale-Harriet Island Regional Park,1,June-9-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-06-09,1,2018-06-09,Weekend_holiday,33,65,7,High,36,2.21,8,41841.36,2018,Boaters,0
Saint Paul,Sam Morgan Regional Trail,2,June-12-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-06-12,1,2018-06-12,Weekday,68,69,7,High,1,1.86,12,84048,2018,Boaters,0
Saint Paul,Hidden Falls-Crosby Farm Regional Park,1,June-12-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-06-12,1,2018-06-12,Weekday,68,66,7,Medium,64.18,2.21,9,17907.12,2018,Boaters,0
Saint Paul,Indian Mounds Regional Park,1,June-12-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-06-12,1,2018-06-12,Weekday,68,67,7,High,59.42,2.21,6,26793.36,2018,Boaters,0
Saint Paul,Mississippi Gorge Regional Park,2,June-12-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-06-12,1,2018-06-12,Weekday,68,68,7,Medium,1,1.86,36,17136,2018,Boaters,0
Saint Paul,Cherokee Heights Regional Park,1,June-15-2018,12:00-2:00 PM,Yes,NA,12:00 PM,2018-06-15,1,2018-06-15,Weekday,68,63,7,High,36,2.21,15,28182.6,2018,Boaters,0
Saint Paul,Lilydale-Harriet Island Regional Park,2,June-15-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-06-15,1,2018-06-15,Weekday,68,65,7,High,36,2.21,8,71965.76,2018,Boaters,0
Saint Paul,Lilydale-Harriet Island Regional Park,1,June-16-2018,6:00-8:00 PM,Yes,NA,06:00 PM,2018-06-16,1,2018-06-16,Weekend_holiday,33,65,7,Medium,36,2.21,10,48137.1,2018,Boaters,0
Saint Paul,Trout Brook Regional Trail,3,June-17-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-06-17,1,2018-06-17,Weekend_holiday,33,130,7,Low,0,0,6,792,2018,Boaters,0
Saint Paul,Sam Morgan Regional Trail,4,June-18-2018,8:00-10:00 AM,Yes,NA,08:00 AM,2018-06-18,1,2018-06-18,Weekday,68,69,7,Low,1,1.86,12,1632,2018,Boaters,0
Saint Paul,Indian Mounds Regional Park,2,June-18-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-06-18,1,2018-06-18,Weekday,68,67,7,Low,59.42,2.21,11,16022.160000000002,2018,Boaters,0
Saint Paul,Trout Brook Regional Trail,1,June-19-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-06-19,1,2018-06-19,Weekday,68,130,7,High,0,0,6,1224,2018,Boaters,0
Saint Paul,Cherokee Heights Regional Park,2,June-21-2018,8:00-10:00 AM,Yes,NA,08:00 AM,2018-06-21,1,2018-06-21,Weekday,68,63,7,Medium,36,2.21,9,10404,2018,Boaters,0
Saint Paul,Lilydale-Harriet Island Regional Park,8,June-21-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-06-21,1,2018-06-21,Weekday,68,65,7,Medium,36,2.21,10,12920,2018,Boaters,0
Saint Paul,Mississippi Gorge Regional Park,3,June-22-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-06-22,1,2018-06-22,Weekday,68,68,7,Low,1,1.86,62,105400,2018,Boaters,0
Saint Paul,Hidden Falls-Crosby Farm Regional Park,5,June-22-2018,12:00-2:00 PM,Yes,NA,12:00 PM,2018-06-22,1,2018-06-22,Weekday,68,66,7,Low,64.18,2.21,12,0,2018,Boaters,0
Saint Paul,"Como Regional Park, Zoo, & Conservatory",8,June-23-2018,6:00-8:00 PM,Yes,NA,06:00 PM,2018-06-23,1,2018-06-23,Weekend_holiday,33,64,7,Medium,9,2.21,69,105220.17,2018,Boaters,0
Saint Paul,"Como Regional Park, Zoo, & Conservatory",9,June-23-2018,6:00-8:00 PM,Yes,NA,06:00 PM,2018-06-23,1,2018-06-23,Weekend_holiday,33,64,7,Medium,9,2.21,69,45289.53,2018,Boaters,0
Saint Paul,Bruce Vento Regional Trail,8,June-23-2018,12:00-2:00 PM,Yes,NA,12:00 PM,2018-06-23,1,2018-06-23,Weekend_holiday,33,62,7,High,1,1.86,21,7623,2018,Boaters,0
Saint Paul,Sam Morgan Regional Trail,5,June-23-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-06-23,1,2018-06-23,Weekend_holiday,33,69,7,Low,1,1.86,12,14652,2018,Boaters,0
Saint Paul,Indian Mounds Regional Park,3,June-23-2018,8:00-10:00 AM,Yes,NA,08:00 AM,2018-06-23,1,2018-06-23,Weekend_holiday,33,67,7,Low,59.42,2.21,11,3343.23,2018,Boaters,0
Saint Paul,Sam Morgan Regional Trail,6,June-24-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-06-24,1,2018-06-24,Weekend_holiday,33,69,7,High,1,1.86,12,27070.56,2018,Boaters,0
Saint Paul,Indian Mounds Regional Park,4,June-24-2018,12:00-2:00 PM,Yes,NA,12:00 PM,2018-06-24,1,2018-06-24,Weekend_holiday,33,67,7,High,59.42,2.21,6,12909.599999999999,2018,Boaters,0
Saint Paul,Bruce Vento Regional Trail,5,June-25-2018,8:00-10:00 AM,Yes,NA,08:00 AM,2018-06-25,1,2018-06-25,Weekday,68,62,7,Medium,1,1.86,6,7172.639999999999,2018,Boaters,0
Saint Paul,Phalen Regional Park,11,June-25-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-06-25,1,2018-06-25,Weekday,68,70,7,Medium,64.18,2.21,16,19235.84,2018,Boaters,0
Saint Paul,"Como Regional Park, Zoo, & Conservatory",20,June-27-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-06-27,1,2018-06-27,Weekday,68,64,7,High,9,2.21,43,264943.63999999996,2018,Boaters,0
Saint Paul,Indian Mounds Regional Park,4,June-27-2018,6:00-8:00 PM,Yes,NA,06:00 PM,2018-06-27,1,2018-06-27,Weekday,68,67,7,Medium,59.42,2.21,7,38199,2018,Boaters,0
Saint Paul,Sam Morgan Regional Trail,6,June-27-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-06-27,1,2018-06-27,Weekday,68,69,7,High,1,1.86,12,34990.08,2018,Boaters,0
Saint Paul,Sam Morgan Regional Trail,3,June-27-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-06-27,1,2018-06-27,Weekday,68,69,7,Medium,1,1.86,12,19584,2018,Boaters,0
Saint Paul,Indian Mounds Regional Park,1,June-28-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-06-28,1,2018-06-28,Weekday,68,67,7,High,59.42,2.21,6,16874.88,2018,Boaters,0
Saint Paul,Indian Mounds Regional Park,2,June-30-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-06-30,1,2018-06-30,Weekend_holiday,33,67,7,Medium,59.42,2.21,7,6017.55,2018,Boaters,0
Saint Paul,Bruce Vento Regional Trail,8,June-30-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-06-30,1,2018-06-30,Weekend_holiday,33,62,7,High,1,1.86,21,2079,2018,Boaters,0
Saint Paul,Hidden Falls-Crosby Farm Regional Park,2,June-30-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-06-30,1,2018-06-30,Weekend_holiday,33,66,7,High,64.18,2.21,9,8517.96,2018,Boaters,0
Saint Paul,Sam Morgan Regional Trail,3,June-30-2018,12:00-2:00 PM,Yes,NA,12:00 PM,2018-06-30,1,2018-06-30,Weekend_holiday,33,69,7,Medium,1,1.86,12,10296,2018,Boaters,0
Saint Paul,Cherokee Heights Regional Park,5,June-30-2018,8:00-10:00 AM,No,6.16.18 8am-10am,08:00 AM,2018-06-30,1,2018-06-30,Weekend_holiday,33,63,7,Medium,36,2.21,9,11363.22,2018,Boaters,0
Saint Paul,Mississippi Gorge Regional Park,6,June-30-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-06-30,1,2018-06-30,Weekend_holiday,33,68,7,High,1,1.86,16,54785.280000000006,2018,Boaters,0
Saint Paul,Bruce Vento Regional Trail,1,July-2-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-07-02,1,2018-07-02,Weekday,68,62,7,High,1,1.86,21,62832,2018,Boaters,0
Saint Paul,Sam Morgan Regional Trail,2,July-2-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-07-02,1,2018-07-02,Weekday,68,69,7,High,1,1.86,12,23664,2018,Boaters,0
Saint Paul,Phalen Regional Park,8,July-2-2018,6:00-8:00 PM,Yes,NA,06:00 PM,2018-07-02,1,2018-07-02,Weekday,68,70,7,High,64.18,2.21,28,176729.27999999997,2018,Boaters,0
Saint Paul,"Como Regional Park, Zoo, & Conservatory",1,July-3-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-07-03,1,2018-07-03,Weekday,68,64,7,Low,9,2.21,20,8160,2018,Boaters,0
Saint Paul,Mississippi Gorge Regional Park,2,July-4-2018,6:00-8:00 PM,Yes,NA,06:00 PM,2018-07-04,1,2018-07-04,Weekend_holiday,33,68,7,Medium,1,1.86,36,29700,2018,Boaters,0
Saint Paul,Hidden Falls-Crosby Farm Regional Park,3,July-4-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-07-04,1,2018-07-04,Weekend_holiday,33,66,7,Medium,64.18,2.21,9,3267,2018,Boaters,0
Saint Paul,Indian Mounds Regional Park,1,July-4-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-07-04,1,2018-07-04,Weekend_holiday,33,67,7,High,59.42,2.21,6,12408.66,2018,Boaters,0
Saint Paul,Trout Brook Regional Trail,2,July-4-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-07-04,1,2018-07-04,Weekend_holiday,33,130,7,Medium,0,0,6,0,2018,Boaters,0
