Year,Park_id,Agency_id,Entrance,Expanded_total,Usage_class,Day_type,Total_visitors,Bikers,Peds_skaters,Vehicles,Buses,Horse_riders,Boaters,Start_time,Date,Half_of_summer,Expansion_factor,ppv_multiplier,ppb_multiplier,Total_days_by_type,Park_name,Agency_name,Date_year,Timeslot,Scheduled_count,Scheduled_date,Date_object
2015,3,1,3,3150,Low,Weekend_holiday,30,20,10,0,0,0,0,08:00 AM,2015-06-27,1,3,3.19,26.3,35,Coon Rapids Dam Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,3,1,3,3150,Low,Weekend_holiday,30,20,10,0,0,0,0,08:00 AM,2015-06-27,1,3,3.19,26.3,35,Coon Rapids Dam Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,3,1,3,3876,Low,Weekday,19,9,10,0,0,0,0,10:00 AM,2015-06-23,1,3,3.19,26.3,68,Coon Rapids Dam Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,3,1,6,5040,High,Weekend_holiday,9,3,6,0,0,0,0,02:00 PM,2015-05-24,1,16,3.19,26.3,35,Coon Rapids Dam Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,3,1,3,5100,Low,Weekday,25,14,11,0,0,0,0,08:00 AM,2015-08-10,2,3,3.19,26.3,68,Coon Rapids Dam Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,3,1,3,7700,Medium,Weekend_holiday,22,8,14,0,0,0,0,12:00 PM,2015-06-06,1,10,3.19,26.3,35,Coon Rapids Dam Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,3,1,4,10640,High,Weekend_holiday,19,8,11,0,0,0,0,06:00 PM,2015-07-12,1,16,3.19,26.3,35,Coon Rapids Dam Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,3,1,6,19584,High,Weekday,18,8,10,0,0,0,0,02:00 PM,2015-07-13,1,16,3.19,26.3,68,Coon Rapids Dam Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,3,1,5,31500,Medium,Weekend_holiday,90,56,34,0,0,0,0,10:00 AM,2015-08-09,2,10,3.19,26.3,35,Coon Rapids Dam Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,3,1,1,36876,High,Weekend_holiday,65.85,8,10,15,0,0,0,12:00 PM,2015-07-11,1,16,3.19,26.3,35,Coon Rapids Dam Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,3,1,5,36992,High,Weekday,34,22,12,0,0,0,0,02:00 PM,2015-08-20,2,16,3.19,26.3,68,Coon Rapids Dam Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,3,1,6,39168,High,Weekday,36,19,17,0,0,0,0,04:00 PM,2015-06-23,1,16,3.19,26.3,68,Coon Rapids Dam Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,3,1,1,77900.8,Medium,Weekday,114.56,25,13,24,0,0,0,10:00 AM,2015-09-04,2,10,3.19,26.3,68,Coon Rapids Dam Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,3,1,4,94656,High,Weekday,87,26,61,0,0,0,0,12:00 PM,2015-06-12,1,16,3.19,26.3,68,Coon Rapids Dam Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,3,1,1,125207.04,High,Weekday,115.08,7,6,32,0,0,0,06:00 PM,2015-08-19,2,16,3.19,26.3,68,Coon Rapids Dam Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,3,1,1,160193.6,High,Weekend_holiday,286.06,26,24,74,0,0,0,04:00 PM,2015-08-30,2,16,3.19,26.3,35,Coon Rapids Dam Regional Park,Anoka County,NA,NA,NA,NA,NA
