Agency_name,Park_name,Entrance,Date_year,Timeslot,Scheduled_count,Scheduled_date,Bikers,Peds_skaters,Vehicles,Buses,Horse_riders,Boaters,Start_time,Date,Half_of_summer,Date_object,Day_type,Total_days_by_type,Park_id,Agency_id,Usage_class,ppb_multiplier,ppv_multiplier,Expansion_factor,Expanded_total,Year
Three Rivers Park District,Nine Mile Creek Regional Trail,20,August-17-2018,10:00-12:00 PM,Yes,NA,2,5,0,0,0,0,10:00 AM,2018-08-17,2,2018-08-17,Weekday,68,115,9,Medium,0,0,78,37128,2018
Three Rivers Park District,Nine Mile Creek Regional Trail,11,September-1-2018,2:00-4:00 PM,Yes,NA,7,3,0,0,0,0,02:00 PM,2018-09-01,2,2018-09-01,Weekend_holiday,33,115,9,High,0,0,18,5940,2018
Three Rivers Park District,Noerenberg Gardens Special Recreation Feature,1,September-3-2018,10:00-12:00 PM,Yes,NA,1,2,8,0,0,0,10:00 AM,2018-09-03,2,2018-09-03,Weekend_holiday,33,37,9,High,39.73,2.75,6,4950,2018
Three Rivers Park District,Noerenberg Gardens Special Recreation Feature,1,August-19-2018,4:00-6:00 PM,Yes,NA,0,0,11,0,0,0,04:00 PM,2018-08-19,2,2018-08-19,Weekend_holiday,33,37,9,High,39.73,2.75,6,5989.5,2018
Three Rivers Park District,Nokomis-Minnesota River Regional Trail,11,August-3-2018,2:00-4:00 PM,Yes,NA,5,7,0,0,0,0,02:00 PM,2018-08-03,2,2018-08-03,Weekday,68,132,9,Low,0,0,30,24480,2018
Three Rivers Park District,Nokomis-Minnesota River Regional Trail,3,August-31-2018,8:00-10:00 AM,Yes,NA,1,0,0,0,0,0,08:00 AM,2018-08-31,2,2018-08-31,Weekday,68,132,9,Medium,0,0,42,2856,2018
Three Rivers Park District,Nokomis-Minnesota River Regional Trail,5,August-25-2018,10:00-12:00 PM,Yes,NA,5,7,0,0,0,0,10:00 AM,2018-08-25,2,2018-08-25,Weekend_holiday,33,132,9,High,0,0,12,4752,2018
Three Rivers Park District,North Cedar Lake Regional Trail,8,August-17-2018,4:00-6:00 PM,Yes,NA,6,1,0,0,0,0,04:00 PM,2018-08-17,2,2018-08-17,Weekday,68,79,9,Low,0,0,36,17136,2018
Three Rivers Park District,North Cedar Lake Regional Trail,10,August-5-2018,8:00-10:00 AM,Yes,NA,1,0,0,0,0,0,08:00 AM,2018-08-05,2,2018-08-05,Weekend_holiday,33,79,9,Medium,0,0,30,990,2018
Three Rivers Park District,Northeast Diagonal Regional Trail,2,July-26-2018,10:00-12:00 PM,Yes,NA,3,17,0,0,0,0,10:00 AM,2018-07-26,2,2018-07-26,Weekday,68,101,9,High,0,0,12,16320,2018
Three Rivers Park District,Northeast Diagonal Regional Trail,1,August-26-2018,12:00-2:00 PM,No,6/24/18 12-2pm,19,10,0,0,0,0,12:00 PM,2018-08-26,2,2018-08-26,Weekend_holiday,33,101,9,High,0,0,12,11484,2018
Three Rivers Park District,Northeast Diagonal Regional Trail,1,July-27-2018,2:00-4:00 PM,Yes,NA,8,1,0,0,0,0,02:00 PM,2018-07-27,2,2018-07-27,Weekday,68,101,9,High,0,0,12,7344,2018
Three Rivers Park District,Shingle Creek Regional Trail,15,August-30-2018,10:00-12:00 PM,No,6/21/18 10-12pm,0,0,0,0,0,0,10:00 AM,2018-08-30,2,2018-08-30,Weekday,68,88,9,Low,0,0,78,0,2018
Three Rivers Park District,Shingle Creek Regional Trail,12,August-22-2018,6:00-8:00 PM,Yes,NA,0,2,0,0,0,0,06:00 PM,2018-08-22,2,2018-08-22,Weekday,68,88,9,Low,0,0,78,10608,2018
Three Rivers Park District,Shingle Creek Regional Trail,56,August-15-2018,10:00-12:00 PM,Yes,NA,5,2,0,0,0,0,10:00 AM,2018-08-15,2,2018-08-15,Weekday,68,88,9,High,0,0,42,19992,2018
Three Rivers Park District,Silverwood Special Recreation Feature,1,July-27-2018,4:00-6:00 PM,Yes,NA,1,5,108,0,0,0,04:00 PM,2018-07-27,2,2018-07-27,Weekday,68,84,9,High,26.3,2.75,6,123624,2018
Three Rivers Park District,Twin Lakes Regional Trail,4,August-31-2018,4:00-6:00 PM,Yes,NA,4,2,0,0,0,0,04:00 PM,2018-08-31,2,2018-08-31,Weekday,68,111,9,Low,0,0,66,26928,2018
Three Rivers Park District,Twin Lakes Regional Trail,4,August-26-2018,8:00-10:00 AM,Yes,NA,3,1,0,0,0,0,08:00 AM,2018-08-26,2,2018-08-26,Weekend_holiday,33,111,9,Low,0,0,66,8712,2018
Three Rivers Park District,Twin Lakes Regional Trail,11,August-29-2018,10:00-12:00 PM,Yes,NA,7,49,0,0,0,0,10:00 AM,2018-08-29,2,2018-08-29,Weekday,68,111,9,High,0,0,6,22848,2018
Three Rivers Park District,Cleary Lake Regional Park (Scott County),1,August-12-2018,12:00-2:00 PM,No,7/4/18 12-2pm,1,0,47,0,0,0,12:00 PM,2018-08-12,2,2018-08-12,Weekend_holiday,33,25,9,High,15,2.75,6,25789.5,2018
Three Rivers Park District,Cedar Lake LRT Regional Trail,3,September-9-2018,8:00-10:00 AM,No,7/21/18 8-10am,112,32,0,0,0,0,08:00 AM,2018-09-09,2,2018-09-09,Weekend_holiday,33,76,9,High,0,0,12,57024,2018
Three Rivers Park District,North Cedar Lake Regional Trail,9,September-9-2018,10:00-12:00 PM,No,7/21/18 10-12pm,136,29,0,0,0,0,10:00 AM,2018-09-09,2,2018-09-09,Weekend_holiday,33,79,9,High,0,0,12,65340,2018
Three Rivers Park District,Medicine Lake Regional Trail,25,August-31-2018,2:00-4:00 PM,Yes,NA,4,2,0,0,0,0,02:00 PM,2018-08-31,2,2018-08-31,Weekday,68,29,9,High,0,0,36,14688,2018
Three Rivers Park District,Fish Lake Regional Park,1,August-31-2018,12:00-2:00 PM,Yes,NA,0,0,28,0,0,0,12:00 PM,2018-08-31,2,2018-08-31,Weekday,68,30,9,High,39.73,2.75,6,31416,2018
Three Rivers Park District,Noerenberg Gardens Special Recreation Feature,1,September-1-2018,2:00-4:00 PM,Yes,NA,3,0,13,0,0,0,02:00 PM,2018-09-01,2,2018-09-01,Weekend_holiday,33,37,9,High,39.73,2.75,6,7672.5,2018
Three Rivers Park District,Medicine Lake Regional Trail,1,September-3-2018,10:00-12:00 PM,Yes,NA,38,24,0,0,0,0,10:00 AM,2018-09-03,2,2018-09-03,Weekend_holiday,33,29,9,Medium,0,0,48,98208,2018
Three Rivers Park District,Fish Lake Regional Park,3,September-3-2018,8:00-10:00 AM,Yes,NA,0,1,0,0,0,0,08:00 AM,2018-09-03,2,2018-09-03,Weekend_holiday,33,30,9,Medium,39.73,2.75,12,396,2018
Three Rivers Park District,Crystal Lake Regional Trail,14,September-1-2018,6:00-8:00 PM,Yes,NA,7,3,0,0,0,0,06:00 PM,2018-09-01,2,2018-09-01,Weekend_holiday,33,131,9,Medium,0,0,30,9900,2018
Three Rivers Park District,Minnesota River Bluffs Regional Trail,13,August-20-2018,12:00-2:00 PM,Yes,NA,0,0,0,0,0,0,12:00 PM,2018-08-20,2,2018-08-20,Weekday,68,40,9,Low,0,0,84,0,2018
Three Rivers Park District,Murphy-Hanrehan Park Reserve (Scott County),8,August-19-2018,6:00-8:00 PM,Yes,NA,2,0,0,0,0,0,06:00 PM,2018-08-19,2,2018-08-19,Weekend_holiday,33,34,9,Low,39.73,2.75,24,1584,2018
