Park_or_trail_name,Park_trail_id,Entrance_name,Entrance_id,Start_time,Day_type,Usage_class
Battle Creek Regional Park,51,winthrop Street South and Lower Afton Road,17,04:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,winthrop Street South and Lower Afton Road,17,06:00 PM,Weekday,Low
Battle Creek Regional Park,51,winthrop Street South and Lower Afton Road,17,06:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Winthrop Street South (South of Hillsdale),18,08:00 AM,Weekday,Low
Battle Creek Regional Park,51,Winthrop Street South (South of Hillsdale),18,08:00 AM,Weekend_holiday,Low
Battle Creek Regional Park,51,Winthrop Street South (South of Hillsdale),18,10:00 AM,Weekday,Low
Battle Creek Regional Park,51,Winthrop Street South (South of Hillsdale),18,10:00 AM,Weekend_holiday,Low
Battle Creek Regional Park,51,Winthrop Street South (South of Hillsdale),18,12:00 PM,Weekday,Low
Battle Creek Regional Park,51,Winthrop Street South (South of Hillsdale),18,12:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Winthrop Street South (South of Hillsdale),18,02:00 PM,Weekday,Low
Battle Creek Regional Park,51,Winthrop Street South (South of Hillsdale),18,02:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Winthrop Street South (South of Hillsdale),18,04:00 PM,Weekday,Low
Battle Creek Regional Park,51,Winthrop Street South (South of Hillsdale),18,04:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Winthrop Street South (South of Hillsdale),18,06:00 PM,Weekday,Low
Battle Creek Regional Park,51,Winthrop Street South (South of Hillsdale),18,06:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Battle Creek Road Trail Entrances (1),19,08:00 AM,Weekday,Low
Battle Creek Regional Park,51,Battle Creek Road Trail Entrances (1),19,08:00 AM,Weekend_holiday,Low
Battle Creek Regional Park,51,Battle Creek Road Trail Entrances (1),19,10:00 AM,Weekday,Low
Battle Creek Regional Park,51,Battle Creek Road Trail Entrances (1),19,10:00 AM,Weekend_holiday,Low
Battle Creek Regional Park,51,Battle Creek Road Trail Entrances (1),19,12:00 PM,Weekday,Low
Battle Creek Regional Park,51,Battle Creek Road Trail Entrances (1),19,12:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Battle Creek Road Trail Entrances (1),19,02:00 PM,Weekday,Low
Battle Creek Regional Park,51,Battle Creek Road Trail Entrances (1),19,02:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Battle Creek Road Trail Entrances (1),19,04:00 PM,Weekday,Low
Battle Creek Regional Park,51,Battle Creek Road Trail Entrances (1),19,04:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Battle Creek Road Trail Entrances (1),19,06:00 PM,Weekday,Low
Battle Creek Regional Park,51,Battle Creek Road Trail Entrances (1),19,06:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Battle Creek Road Trail Entrance (2),20,08:00 AM,Weekday,Low
Battle Creek Regional Park,51,Battle Creek Road Trail Entrance (2),20,08:00 AM,Weekend_holiday,Low
Battle Creek Regional Park,51,Battle Creek Road Trail Entrance (2),20,10:00 AM,Weekday,Low
