Park_trail,Entrance,Usage_class,Start_time,Day_type
5,4,Medium,1000,Weekday
112,2,Medium,1000,Weekend_holiday
112,2,Medium,1000,Weekday
1,1,Medium,1200,Weekend_holiday
1,1,Medium,1200,Weekday
1,4,Medium,1200,Weekend_holiday
1,4,Medium,1200,Weekday
7,2,Medium,1200,Weekend_holiday
7,2,Medium,1200,Weekday
7,10,Medium,1200,Weekend_holiday
7,10,Medium,1200,Weekday
7,11,Medium,1200,Weekend_holiday
7,11,Medium,1200,Weekday
7,13,Medium,1200,Weekend_holiday
7,13,Medium,1200,Weekday
7,14,Medium,1200,Weekend_holiday
7,14,Medium,1200,Weekday
110,1,Medium,1200,Weekend_holiday
110,1,Medium,1200,Weekday
110,3,Medium,1200,Weekend_holiday
110,3,Medium,1200,Weekday
110,4,Medium,1200,Weekend_holiday
110,4,Medium,1200,Weekday
108,3,Medium,1200,Weekend_holiday
108,3,Medium,1200,Weekday
108,5,Medium,1200,Weekend_holiday
108,5,Medium,1200,Weekday
2,3,Medium,1200,Weekend_holiday
2,3,Medium,1200,Weekday
2,4,Medium,1200,Weekend_holiday
2,4,Medium,1200,Weekday
2,9,Medium,1200,Weekend_holiday
2,9,Medium,1200,Weekday
107,3,Medium,1200,Weekend_holiday
107,3,Medium,1200,Weekday
107,6,Medium,1200,Weekend_holiday
107,6,Medium,1200,Weekday
107,7,Medium,1200,Weekend_holiday
107,7,Medium,1200,Weekday
107,8,Medium,1200,Weekend_holiday
107,8,Medium,1200,Weekday
3,3,Medium,1200,Weekend_holiday
3,3,Medium,1200,Weekday
3,5,Medium,1200,Weekend_holiday
3,5,Medium,1200,Weekday
6,2,Medium,1200,Weekend_holiday
6,2,Medium,1200,Weekday
6,4,Medium,1200,Weekend_holiday
6,4,Medium,1200,Weekday
6,5,Medium,1200,Weekend_holiday
6,5,Medium,1200,Weekday
6,6,Medium,1200,Weekend_holiday
6,6,Medium,1200,Weekday
6,10,Medium,1200,Weekend_holiday
6,10,Medium,1200,Weekday
4,2,Medium,1200,Weekend_holiday
4,2,Medium,1200,Weekday
4,4,Medium,1200,Weekend_holiday
4,4,Medium,1200,Weekday
9,1,Medium,1200,Weekend_holiday
9,1,Medium,1200,Weekday
9,4,Medium,1200,Weekend_holiday
9,4,Medium,1200,Weekday
8,6,Medium,1200,Weekend_holiday
8,6,Medium,1200,Weekday
8,7,Medium,1200,Weekend_holiday
8,7,Medium,1200,Weekday
109,1,Medium,1200,Weekend_holiday
109,1,Medium,1200,Weekday
109,2,Medium,1200,Weekend_holiday
109,2,Medium,1200,Weekday
109,4,Medium,1200,Weekend_holiday
109,4,Medium,1200,Weekday
75,1,Medium,1200,Weekend_holiday
75,1,Medium,1200,Weekday
75,2,Medium,1200,Weekend_holiday
75,2,Medium,1200,Weekday
75,3,Medium,1200,Weekend_holiday
75,3,Medium,1200,Weekday
5,4,Medium,1200,Weekend_holiday
5,4,Medium,1200,Weekday
112,2,Medium,1200,Weekend_holiday
112,2,Medium,1200,Weekday
1,1,Medium,1400,Weekend_holiday
1,1,Medium,1400,Weekday
1,4,Medium,1400,Weekend_holiday
1,4,Medium,1400,Weekday
7,2,Medium,1400,Weekend_holiday
7,2,Medium,1400,Weekday
7,10,Medium,1400,Weekend_holiday
7,10,Medium,1400,Weekday
7,11,Medium,1400,Weekend_holiday
7,11,Medium,1400,Weekday
7,13,Medium,1400,Weekend_holiday
7,13,Medium,1400,Weekday
7,14,Medium,1400,Weekend_holiday
7,14,Medium,1400,Weekday
110,1,Medium,1400,Weekend_holiday
110,1,Medium,1400,Weekday
110,3,Medium,1400,Weekend_holiday
110,3,Medium,1400,Weekday
110,4,Medium,1400,Weekend_holiday
110,4,Medium,1400,Weekday
108,3,Medium,1400,Weekend_holiday
108,3,Medium,1400,Weekday
108,5,Medium,1400,Weekend_holiday
108,5,Medium,1400,Weekday
2,3,Medium,1400,Weekend_holiday
2,3,Medium,1400,Weekday
2,4,Medium,1400,Weekend_holiday
2,4,Medium,1400,Weekday
2,9,Medium,1400,Weekend_holiday
2,9,Medium,1400,Weekday
107,3,Medium,1400,Weekend_holiday
107,3,Medium,1400,Weekday
107,6,Medium,1400,Weekend_holiday
107,6,Medium,1400,Weekday
107,7,Medium,1400,Weekend_holiday
107,7,Medium,1400,Weekday
107,8,Medium,1400,Weekend_holiday
107,8,Medium,1400,Weekday
3,3,Medium,1400,Weekend_holiday
3,3,Medium,1400,Weekday
3,5,Medium,1400,Weekend_holiday
3,5,Medium,1400,Weekday
6,2,Medium,1400,Weekend_holiday
6,2,Medium,1400,Weekday
6,4,Medium,1400,Weekend_holiday
6,4,Medium,1400,Weekday
6,5,Medium,1400,Weekend_holiday
6,5,Medium,1400,Weekday
6,6,Medium,1400,Weekend_holiday
6,6,Medium,1400,Weekday
6,10,Medium,1400,Weekend_holiday
6,10,Medium,1400,Weekday
4,2,Medium,1400,Weekend_holiday
4,2,Medium,1400,Weekday
4,4,Medium,1400,Weekend_holiday
4,4,Medium,1400,Weekday
9,1,Medium,1400,Weekend_holiday
9,1,Medium,1400,Weekday
9,4,Medium,1400,Weekend_holiday
9,4,Medium,1400,Weekday
8,6,Medium,1400,Weekend_holiday
8,6,Medium,1400,Weekday
8,7,Medium,1400,Weekend_holiday
8,7,Medium,1400,Weekday
109,1,Medium,1400,Weekend_holiday
109,1,Medium,1400,Weekday
109,2,Medium,1400,Weekend_holiday
109,2,Medium,1400,Weekday
109,4,Medium,1400,Weekend_holiday
109,4,Medium,1400,Weekday
75,1,Medium,1400,Weekend_holiday
75,1,Medium,1400,Weekday
75,2,Medium,1400,Weekend_holiday
75,2,Medium,1400,Weekday
75,3,Medium,1400,Weekend_holiday
75,3,Medium,1400,Weekday
5,4,Medium,1400,Weekend_holiday
5,4,Medium,1400,Weekday
112,2,Medium,1400,Weekend_holiday
112,2,Medium,1400,Weekday
1,1,Medium,1600,Weekend_holiday
1,1,Medium,1600,Weekday
1,4,Medium,1600,Weekend_holiday
1,4,Medium,1600,Weekday
7,2,Medium,1600,Weekend_holiday
7,2,Medium,1600,Weekday
7,10,Medium,1600,Weekend_holiday
7,10,Medium,1600,Weekday
7,11,Medium,1600,Weekend_holiday
7,11,Medium,1600,Weekday
7,13,Medium,1600,Weekend_holiday
7,13,Medium,1600,Weekday
7,14,Medium,1600,Weekend_holiday
7,14,Medium,1600,Weekday
110,2,Medium,1600,Weekend_holiday
110,2,Medium,1600,Weekday
110,4,Medium,1600,Weekend_holiday
110,4,Medium,1600,Weekday
108,2,Medium,1600,Weekend_holiday
108,2,Medium,1600,Weekday
108,5,Medium,1600,Weekend_holiday
108,5,Medium,1600,Weekday
