Year,Park,agency,Entrance,totalsum,samclass,daytype,totalall,Biker,Pedskat,Vehicle,Bus,Horse,Boat,orgstart,gooddate,half,expfact,new2008ppv,newppb,day#s,carpeop,buspeop
2016,3,1,1,76375.2,1,1,144.65,10,20,35,0,0,3,1400,626,1,16,3.19,26.3,33,111.65,0
2016,3,1,4,81472,1,2,76,30,46,0,0,0,0,1400,701,1,16,3.19,26.3,67,0,0
2016,3,1,1,133067.36,1,2,124.13,16,22,27,0,0,0,1800,729,2,16,3.19,26.3,67,86.13,0
2016,3,1,1,194061.12,1,1,367.54,85,72,66,0,0,0,1200,709,1,16,3.19,26.3,33,210.54,0
2017,3,1,3,0,2,2,0,0,0,0,0,0,0,1200,816,2,12,2.67,26.3,67,0,0
2017,3,1,6,198,3,1,1,1,0,0,0,0,0,1600,625,1,6,2.67,26.3,33,0,0
2017,3,1,5,1188,2,1,3,0,3,0,0,0,0,1400,820,2,12,2.67,26.3,33,0,0
2017,3,1,6,3168,3,1,16,7,9,0,0,0,0,1000,813,2,6,2.67,26.3,33,0,0
2017,3,1,3,8040,2,2,10,4,6,0,0,0,0,800,710,1,12,2.67,26.3,67,0,0
2017,3,1,5,8712,2,1,22,1,21,0,0,0,0,1400,528,1,12,2.67,26.3,33,0,0
2017,3,1,4,9900,1,1,25,4,21,0,0,0,0,1600,527,1,12,2.67,26.3,33,0,0
2017,3,1,6,12462,3,2,31,20,11,0,0,0,0,1600,602,1,6,2.67,26.3,67,0,0
2017,3,1,6,16080,3,2,40,27,13,0,0,0,0,1600,727,2,6,2.67,26.3,67,0,0
2017,3,1,4,20196,1,1,51,33,18,0,0,0,0,1800,722,2,12,2.67,26.3,33,0,0
2017,3,1,4,41580,2,1,105,44,61,0,0,0,0,800,701,1,12,2.67,26.3,33,0,0
2017,3,1,4,51456,1,2,64,7,57,0,0,0,0,1800,530,1,12,2.67,26.3,67,0,0
2017,3,1,4,56280,1,2,70,33,37,0,0,0,0,1200,706,1,12,2.67,26.3,67,0,0
2017,3,1,4,65928,1,2,82,29,53,0,0,0,0,1800,607,1,12,2.67,26.3,67,0,0
2017,3,1,1,66314.16,1,1,167.46,35,31,38,0,0,0,1400,624,1,12,2.67,26.3,33,101.46,0
2017,3,1,1,154504.68,1,2,192.17,32,24,51,0,0,0,1800,811,2,12,2.67,26.3,67,136.17,0
2017,3,1,1,247865.16,1,2,308.29,48,28,87,0,0,0,1000,728,2,12,2.67,26.3,67,232.29,0
2014,4,1,1,1301.52,2,2,9.57,0,0,3,0,0,0,1800,527,1,2,3.19,60,68,9.57,0
2014,4,1,3,2376,3,1,4,1,3,0,0,0,0,1800,816,2,18,3.19,60,33,0,0
2014,4,1,1,4895.88,1,1,37.09,0,2,11,0,0,0,1000,607,1,4,3.19,60,33,35.09,0
