Q29,Q1,Q13,Q17,Q17_1,Q19,Q21,Q26,Q27,Q28,Q18,Q22,Q23,Q24,Q26_1,Q27_1
What are your initials?,Agency Name,Park or Trail,Site Entrance Number,What month is it?,What day of the month is it?,What is the year?,Which timeslot best represents the time you will be onsite to conduct the count?,Is this a scheduled count? (was this count originally scheduled for the date and timeblock previously indicated?),"If not, when was it scheduled? Include date and time.","Bikes

Indicate total number of bikes, tricycles, unicycles, motorcycles. Count people, not the number of bikes. If there are 2 people on 1 bike, count it as 2.","Pedestrian/Skaters

Indicate total number of walkers, joggers, runners, baby strollers, skateboarders, inline and roller skaters, people in wheelchairs, etc.","Vehicles

Indicate total number of cars, vans, pickup trucks, and metro mobility van/buses.

Count the number of vehicles, not the number of people in them.","Buses

Indicate total number of charter, school, church group vehicles that hold more than 8 people. Be sure that the bus enters the park. Metro Transit buses on regular routes never enter parks and are NOT counted. 

Count the number of buses, not the number of people in them.","Horse Riders

Indicate total number of people on horses, not the number of horses. Two people on one horse =2 visits. Do not count mounted police or park patrols.","Boaters

Indicate total number of people arriving at the park by boat, not those towing a boat (that's counted in the vehicle category)."
Hg,Saint Paul,Sam Morgan Regional Trail,2,August,18,2018,10:00-12:00 PM,Yes,NA,54,10,0,0,0,0
Hg,Saint Paul,Cherokee Heights Regional Park,5,August,12,2018,2:00-4:00 PM,Yes,NA,2,11,0,0,0,0
Hg,Saint Paul,Indian Mounds Regional Park,4,August,11,2018,12:00-2:00 PM,Yes,NA,2,4,17,0,0,0
Hg,Saint Paul,Mississippi Gorge Regional Park,2,August,4,2018,12:00-2:00 PM,Yes,NA,1,7,0,0,0,0
Hg,Saint Paul,Hidden Falls-Crosby Farm Regional Park,1,August,4,2018,10:00-12:00 PM,Yes,NA,0,6,12,0,0,0
Hg,Saint Paul,Mississippi Gorge Regional Park,2,August,4,2018,12:00-2:00 PM,Yes,NA,1,7,0,0,0,0
Hg,Saint Paul,Hidden Falls-Crosby Farm Regional Park,1,August,4,2018,10:00-12:00 PM,Yes,NA,0,6,12,0,0,0
Hg,Saint Paul,Sam Morgan Regional Trail,6,July,28,2018,4:00-6:00 PM,Yes,NA,29,17,6,0,0,0
Hg,Saint Paul,Hidden Falls-Crosby Farm Regional Park,1,July,29,2018,10:00-12:00 PM,Yes,NA,5,8,9,0,0,0
Hg,Saint Paul,Mississippi Gorge Regional Park,16,July,29,2018,8:00-10:00 AM,Yes,NA,16,14,0,0,0,0
Hg,Saint Paul,Indian Mounds Regional Park,1,July,28,2018,2:00-4:00 PM,Yes,NA,0,0,37,0,0,0
Hg,Saint Paul,Trout Brook Regional Trail,1,July,28,2018,10:00-12:00 PM,Yes,NA,6,3,1,0,0,0
NG,Saint Paul,Bruce Vento Regional Trail,6,August,17,2018,6:00-8:00 PM,Yes,NA,13,18,0,0,0,0
NG,Saint Paul,Indian Mounds Regional Park,1,August,18,2018,8:00-10:00 AM,Yes,NA,0,0,14,0,0,0
NG,Saint Paul,Phalen Regional Park,11,August,17,2018,4:00-6:00 PM,Yes,NA,0,0,22,0,0,0
PD,Saint Paul,Trout Brook Regional Trail,1,August,14,2018,12:00-2:00 PM,Yes,NA,1,9,4,0,0,0
PD,Saint Paul,Trout Brook Regional Trail,1,August,10,2018,12:00-2:00 PM,Yes,NA,2,3,2,0,0,0
PD,Saint Paul,Hidden Falls-Crosby Farm Regional Park,1,August,9,2018,12:00-2:00 PM,Yes,NA,5,4,4,0,0,0
NG,Saint Paul,Lilydale-Harriet Island Regional Park,1,August,23,2018,8:00-10:00 AM,Yes,NA,10,8,31,0,0,0
BS,Saint Paul,"Como Regional Park, Zoo, & Conservatory",20,August,30,2018,12:00-2:00 PM,Yes,NA,0,0,55,0,0,0
BS,Saint Paul,Phalen Regional Park,4,August,22,2018,4:00-6:00 PM,Yes,NA,0,8,0,0,0,0
BS,Saint Paul,Mississippi Gorge Regional Park,4,August,27,2018,10:00-12:00 PM,Yes,NA,19,8,0,0,0,0
BS,Saint Paul,Indian Mounds Regional Park,1,August,27,2018,2:00-4:00 PM,Yes,NA,2,15,12,0,0,0
AP,Saint Paul,"Como Regional Park, Zoo, & Conservatory",9,August,10,2018,2:00-4:00 PM,Yes,NA,8,19,13,0,0,0
AP,Saint Paul,Bruce Vento Regional Trail,3,August,22,2018,4:00-6:00 PM,Yes,NA,1,6,0,0,0,0
AP,Saint Paul,"Como Regional Park, Zoo, & Conservatory",20,August,29,2018,6:00-8:00 PM,Yes,NA,0,0,8,0,0,0
NG,Saint Paul,Phalen Regional Park,11,September,3,2018,4:00-6:00 PM,Yes,NA,0,0,13,0,0,0
AP,Saint Paul,"Como Regional Park, Zoo, & Conservatory",17,August,31,2018,2:00-4:00 PM,Yes,NA,0,0,28,0,0,0
MAH,Saint Paul,Mississippi Gorge Regional Park,6,August,9,2018,2:00-4:00 PM,Yes,NA,12,22,28,0,0,0
MAH,Saint Paul,Hidden Falls-Crosby Farm Regional Park,2,August,20,2018,12:00-2:00 PM,Yes,NA,1,2,18,0,0,0
MAH,Saint Paul,Indian Mounds Regional Park,2,August,23,2018,12:00-2:00 PM,Yes,NA,3,9,6,0,0,0
MAH,Saint Paul,Mississippi Gorge Regional Park,6,August,28,2018,2:00-4:00 PM,Yes,NA,9,21,13,0,0,0
PD,Saint Paul,Mississippi Gorge Regional Park,5,August,20,2018,10:00-12:00 PM,Yes,NA,11,35,0,0,0,0
PD,Saint Paul,Sam Morgan Regional Trail,2,August,23,NA,10:00-12:00 PM,Yes,NA,15,4,0,0,0,0
PD,Saint Paul,Hidden Falls-Crosby Farm Regional Park,3,August,27,2018,8:00-10:00 AM,Yes,NA,0,3,15,0,0,0
PD,Saint Paul,Hidden Falls-Crosby Farm Regional Park,2,August,28,2018,12:00-2:00 PM,Yes,NA,0,5,5,0,0,0
PD,Saint Paul,Cherokee Heights Regional Park,2,August,29,2018,2:00-4:00 PM,Yes,NA,8,12,2,0,0,0
PD,Saint Paul,Hidden Falls-Crosby Farm Regional Park,4,August,31,2018,2:00-4:00 PM,No,8/31/18 Noon - 2 pm,4,2,23,0,0,0
PD,Saint Paul,Trout Brook Regional Trail,2,September,1,2018,12:00-2:00 PM,Yes,NA,3,0,0,0,0,0
BD,Saint Paul,Lilydale-Harriet Island Regional Park,2,August,29,2018,4:00-6:00 PM,Yes,NA,3,6,19,0,0,0
BD,Saint Paul,Sam Morgan Regional Trail,2,August,27,2018,4:00-6:00 PM,Yes,NA,15,2,0,0,0,0
BD,Saint Paul,Cherokee Heights Regional Park,3,August,31,2018,4:00-6:00 PM,Yes,NA,0,2,0,0,0,0
BD,Saint Paul,Lilydale-Harriet Island Regional Park,1,August,NA,2018,6:00-8:00 PM,Yes,NA,7,3,18,0,0,0
