Q29,Q1,Q9,Q17,Q17_1,Q19,Q21,Q26,Q27,Q28,Q18,Q22,Q23,Q24,Q26_1,Q27_1
What are your initials?,Agency Name,Park or Trail,Site Entrance Number,What month is it?,What day of the month is it?,What is the year?,Which timeslot best represents the time you will be onsite to conduct the count?,Is this a scheduled count? (was this count originally scheduled for the date and timeblock previously indicated?),"If not, when was it scheduled? Include date and time.","Bikes

Indicate total number of bikes, tricycles, unicycles, motorcycles. Count people, not the number of bikes. If there are 2 people on 1 bike, count it as 2.","Pedestrian/Skaters

Indicate total number of walkers, joggers, runners, baby strollers, skateboarders, inline and roller skaters, people in wheelchairs, etc.","Vehicles

Indicate total number of cars, vans, pickup trucks, and metro mobility van/buses.

Count the number of vehicles, not the number of people in them.","Buses

Indicate total number of charter, school, church group vehicles that hold more than 8 people. Be sure that the bus enters the park. Metro Transit buses on regular routes never enter parks and are NOT counted. 

Count the number of buses, not the number of people in them.","Horse Riders

Indicate total number of people on horses, not the number of horses. Two people on one horse =2 visits. Do not count mounted police or park patrols.","Boaters

Indicate total number of people arriving at the park by boat, not those towing a boat (that's counted in the vehicle category)."
TL,Dakota County,Lake Byllesby Regional Park,1,August,13,2018,6:00-8:00 PM,No,8-20-18. 6-8pm,2,7,4,0,0,0
TL,Dakota County,Miesville Ravine Park Reserve,1,August,13,2018,4:00-6:00 PM,No,8-13-18. 4-6pm,0,2,1,0,0,0
AR,Dakota County,Spring Lake Park Reserve,2,August,12,2018,4:00-6:00 PM,No,8-19-18. 4-6pm,0,2,0,0,0,0
AR,Dakota County,Lebanon Hills Regional Park,3,August,12,2018,2:00-4:00 PM,No,8-19-18. 2-4pm,1,10,71,0,0,0
NM,Dakota County,Whitetail Woods Regional Park,2,August,18,2018,6:00-8:00 PM,Yes,NA,0,0,3,0,0,0
NM,Dakota County,Big Rivers Regional Trail,5,August,18,2018,4:00-6:00 PM,Yes,NA,0,0,0,0,0,0
ND,Dakota County,Spring Lake Park Reserve,2,August,11,2018,2:00-4:00 PM,No,8-18-18. 2-4pm,2,0,0,0,0,0
ES,Dakota County,Miesville Ravine Park Reserve,1,August,18,2018,2:00-4:00 PM,Yes,NA,2,2,7,0,0,0
AW,Dakota County,Lebanon Hills Regional Park,11,August,11,2018,12:00-2:00 PM,No,8-18-18. 12-2pm,0,3,0,0,0,0
ES,Dakota County,Lake Byllesby Regional Park,1,August,18,2018,12:00-2:00 PM,Yes,NA,5,11,7,0,0,0
AW,Dakota County,Spring Lake Park Reserve,2,August,10,2018,10:00-12:00 PM,No,8-17-18. 10-12pm,0,0,3,0,0,0
AW,Dakota County,Lebanon Hills Regional Park,2,August,10,2018,8:00-10:00 AM,No,8-17-18. 8-10am,0,1,16,0,0,0
AW,Dakota County,Whitetail Woods Regional Park,1,August,9,2018,6:00-8:00 PM,No,8-16-18 6-8pm,0,0,9,0,0,0
CD,Dakota County,River to River Greenway Regional Trail,10,August,7,2018,2:00-4:00 PM,No,8-14-18. 2-4pm,0,4,0,0,0,0
ES,Dakota County,Minnesota River Greenway,2,August,14,2018,10:00-12:00 PM,Yes,NA,1,2,0,0,0,0
NH,Dakota County,Mississippi River Regional Trail,3,August,5,2018,6:00-8:00 PM,No,8-12-18. 6-8pm,2,0,0,0,0,0
AW,Dakota County,Minnesota River Greenway,1,August,13,2018,4:00-6:00 PM,Yes,NA,7,8,0,0,0,0
NM,Dakota County,Whitetail Woods Regional Park,1,August,5,2018,4:00-6:00 PM,No,8-12-18. 4-6pm,2,0,23,0,0,0
NH,Dakota County,River to River Greenway Regional Trail,3,August,5,2018,4:00-6:00 PM,No,8-12-18. 4-6pm,5,12,0,0,0,0
TS,Dakota County,Big Rivers Regional Trail,4,August,11,2018,12:00-2:00 PM,Yes,NA,4,9,0,0,0,0
TL,Dakota County,Lebanon Hills Regional Park,6,August,10,2018,6:00-8:00 PM,Yes,NA,12,4,7,0,0,0
AR,Dakota County,Spring Lake Park Reserve,1,August,3,2018,4:00-6:00 PM,No,8-10-18. 4-6pm,1,0,28,0,0,0
AD,Dakota County,Lake Byllesby Regional Park,2,August,2,2018,6:00-8:00 PM,No,8-9-18. 6-8pm,4,1,6,0,0,0
AD,Dakota County,Miesville Ravine Park Reserve,1,August,2,2018,4:00-6:00 PM,No,8-9-18. 4-6pm,0,0,7,0,0,0
AW,Dakota County,Whitetail Woods Regional Park,1,August,2,2018,12:00-2:00 PM,No,8-9-18. 12-2pm,2,0,7,0,0,0
NM,Dakota County,Lebanon Hills Regional Park,10,August,16,2018,12:00-2:00 PM,No,8-9-18. 12-2pm,0,3,0,0,0,0
AW,Dakota County,Spring Lake Park Reserve,2,August,2,2018,10:00-12:00 PM,No,8-9-18. 10-12pm,0,0,8,0,0,0
AD,Dakota County,Whitetail Woods Regional Park,3,August,8,2018,2:00-4:00 PM,Yes,NA,0,3,0,0,0,0
AR,Dakota County,Whitetail Woods Regional Park,2,July,31,2018,10:00-12:00 PM,No,8-7-18. 10-12pm,0,2,1,0,0,0
LM,Dakota County,Minnesota River Greenway,1,July,29,2018,2:00-4:00 PM,No,8-5-18. 2-4pm,29,17,0,0,0,0
KO,Dakota County,Big Rivers Regional Trail,6,July,29,2018,10:00-12:00 PM,No,8-5-18. 10-12pm,19,3,0,0,0,0
AW,Dakota County,Miesville Ravine Park Reserve,1,August,4,2018,6:00-8:00 PM,Yes,NA,0,0,2,0,0,0
AW,Dakota County,Lake Byllesby Regional Park,2,August,4,2018,4:00-6:00 PM,Yes,NA,0,0,3,0,0,0
CD,Dakota County,Lebanon Hills Regional Park,1,July,28,2018,12:00-2:00 PM,No,8-4-18. 12-2pm,3,0,138,0,0,0
CD,Dakota County,Spring Lake Park Reserve,2,July,28,2018,10:00-12:00 PM,No,8-4-18. 10-12pm,20,5,0,0,0,0
AD,Dakota County,Spring Lake Park Reserve,1,July,25,2018,12:00-2:00 PM,No,8-1-18. 12-2pm,4,0,17,0,0,0
NB,Dakota County,Lebanon Hills Regional Park,1,July,25,2018,10:00-12:00 PM,No,8-1-18. 10-12pm,0,0,34,1,0,0
ND,Dakota County,Big Rivers Regional Trail,4,July,30,2018,6:00-8:00 PM,Yes,NA,6,3,0,0,0,0
KO,Dakota County,Big Rivers Regional Trail,1,July,28,2018,6:00-8:00 PM,Yes,NA,7,4,0,0,0,0
TS,Dakota County,Big Rivers Regional Trail,5,July,27,2018,8:00-10:00 AM,Yes,NA,3,7,0,0,0,0
ND,Dakota County,Minnesota River Greenway,1,August,1,2018,12:00-2:00 PM,No,7-25-18. 12-2pm,13,1,0,0,0,0
TL,Dakota County,River to River Greenway Regional Trail,19,July,24,2018,4:00-6:00 PM,Yes,NA,11,22,0,0,0,0
TL,Dakota County,Mississippi River Regional Trail,11,July,24,2018,2:00-4:00 PM,Yes,NA,8,19,0,0,0,0
AM,Dakota County,Mississippi River Regional Trail,8,July,29,2018,6:00-8:00 PM,No,7-22-18 6-8pm,4,5,0,0,0,0
KO,Dakota County,Big Rivers Regional Trail,5,July,22,2018,6:00-8:00 PM,Yes,NA,6,5,0,0,0,0
KO,Dakota County,Whitetail Woods Regional Park,1,July,22,2018,4:00-6:00 PM,Yes,NA,2,27,10,0,0,0
ND,Dakota County,River to River Greenway Regional Trail,3,July,22,2018,10:00-12:00 PM,Yes,NA,37,14,0,0,0,0
NM,Dakota County,Minnesota River Greenway,2,July,29,2018,8:00-10:00 AM,No,7-22-18 8-10am,9,4,0,0,0,0
LM,Dakota County,Minnesota River Greenway,2,July,28,2018,8:00-10:00 AM,No,7-21-18. 8-10am,4,17,0,0,0,0
TL,Dakota County,River to River Greenway Regional Trail,1,July,21,2018,2:00-4:00 PM,Yes,NA,6,39,0,0,0,0
NB,Dakota County,Lebanon Hills Regional Park,1,September,3,2018,4:00-6:00 PM,Yes,NA,0,1,35,0,0,0
LM,Dakota County,Spring Lake Park Reserve,1,September,3,2018,2:00-4:00 PM,Yes,NA,14,5,34,0,0,0
ND,Dakota County,Whitetail Woods Regional Park,1,September,3,2018,8:00-10:00 AM,Yes,NA,0,0,11,0,0,0
SF,Dakota County,Whitetail Woods Regional Park,3,September,2,2018,4:00-6:00 PM,Yes,NA,0,6,0,0,0,0
