Park,Entrance,Start_time,Class
42,5,1000,2
42,5,1200,1
42,5,1400,2
42,5,1600,1
42,5,1800,1
42,6,800,2
42,6,1000,2
42,6,1200,2
42,6,1400,2
42,6,1600,2
42,6,1800,1
42,7,800,2
42,7,1000,2
42,7,1200,1
42,7,1400,2
42,7,1600,2
42,7,1800,2
42,8,800,2
42,8,1000,2
42,8,1200,1
42,8,1400,2
42,8,1600,2
42,8,1800,1
42,10,800,2
42,10,1000,2
42,10,1200,1
42,10,1400,2
42,10,1600,2
42,10,1800,1
42,11,800,2
42,11,1000,2
42,11,1200,2
42,11,1400,2
42,11,1600,2
42,11,1800,2
42,12,800,2
42,12,1000,2
42,12,1200,1
42,12,1400,2
42,12,1600,2
42,12,1800,1
42,13,800,1
42,13,1000,1
42,13,1200,1
42,13,1400,1
42,13,1600,1
42,13,1800,1
42,17,800,2
42,17,1000,2
42,17,1200,1
42,17,1400,2
42,17,1600,1
42,17,1800,1
42,18,800,2
42,18,1000,2
42,18,1200,1
42,18,1400,2
42,18,1600,1
42,18,1800,1
42,19,800,2
42,19,1000,2
42,19,1200,1
42,19,1400,2
42,19,1600,1
42,19,1800,1
42,20,800,2
42,20,1000,2
42,20,1200,1
42,20,1400,2
42,20,1600,1
42,20,1800,1
42,21,800,2
42,21,1000,2
42,21,1200,2
42,21,1400,2
42,21,1600,2
42,21,1800,2
42,25,800,3
42,25,1000,3
42,25,1200,3
42,25,1400,3
42,25,1600,2
42,25,1800,2
42,26,800,1
42,26,1000,3
42,26,1200,3
42,26,1400,3
42,26,1600,3
42,26,1800,3
42,27,800,2
42,27,1000,2
42,27,1200,3
42,27,1400,3
42,27,1600,2
42,27,1800,2
43,1,800,3
43,1,1000,3
43,1,1200,2
43,1,1400,2
43,1,1600,2
43,1,1800,2
43,2,800,3
43,2,1000,3
43,2,1200,2
43,2,1400,2
43,2,1600,2
43,2,1800,2
43,3,800,3
43,3,1000,3
43,3,1200,2
